lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
21.10690155,92.20432024234655,49,29,49_29,POINT (92.20432024234655 21.10690155),whykong,10,-32768.0,-32768.0,50863,57,1.3646907283149048,0.4228882821867395,2
21.10690155,92.21271593112203,49,30,49_30,POINT (92.21271593112203 21.10690155),whykong,40,-32768.0,-32768.0,50863,118,1.4677836095767587,0.4052219149682685,2
21.10690155,92.22111161989754,49,31,49_31,POINT (92.22111161989754 21.10690155),whykong,40,-32768.0,-32768.0,50863,78,0.8282100293126093,0.5469831058611965,2
21.11589455,92.10357197704069,50,17,50_17,POINT (92.10357197704069 21.11589455),jalia palong,30,-32768.0,-32768.0,47656,1425,0.2107088669892751,0.8259623987777883,1
21.11589455,92.11196766581618,50,18,50_18,POINT (92.11196766581618 21.11589455),whykong,10,-32768.0,-32768.0,50863,374,0.9444059911238203,0.5142958849977745,2
21.11589455,92.12036335459166,50,19,50_19,POINT (92.12036335459166 21.11589455),whykong,10,-32768.0,-32768.0,50863,447,1.6074146618559946,0.3835216602211579,3
21.11589455,92.12875904336715,50,20,50_20,POINT (92.12875904336715 21.11589455),whykong,10,-32768.0,-32768.0,50863,560,2.3184831163642374,0.3013425004541261,3
21.11589455,92.13715473214263,50,21,50_21,POINT (92.13715473214263 21.11589455),whykong,10,-32768.0,-32768.0,50863,621,2.9793623702559726,0.2512965412435347,3
21.11589455,92.14555042091814,50,22,50_22,POINT (92.14555042091814 21.11589455),whykong,10,-32768.0,-32768.0,50863,2057,3.508323673880803,0.22181193550799153,4
21.11589455,92.15394610969362,50,23,50_23,POINT (92.15394610969362 21.11589455),whykong,10,-32768.0,-32768.0,50863,157,4.006107705046601,0.1997559898665207,4
21.11589455,92.16234179846911,50,24,50_24,POINT (92.16234179846911 21.11589455),whykong,10,-32768.0,-32768.0,50863,428,4.33228137488945,0.18753699021007347,4
21.11589455,92.1707374872446,50,25,50_25,POINT (92.1707374872446 21.11589455),whykong,40,-32768.0,-32768.0,50863,5198,3.4285924960595673,0.22580537741726542,4
21.11589455,92.17913317602007,50,26,50_26,POINT (92.17913317602007 21.11589455),whykong,40,-32768.0,-32768.0,50863,40,2.5453460059489843,0.2820599169508505,3
21.11589455,92.18752886479558,50,27,50_27,POINT (92.18752886479558 21.11589455),whykong,10,-32768.0,-32768.0,50863,1217,1.7144332209504136,0.3684010320393392,3
21.11589455,92.19592455357107,50,28,50_28,POINT (92.19592455357107 21.11589455),whykong,10,-32768.0,-32768.0,50863,56,1.0436788701042377,0.48931366597189274,2
21.11589455,92.20432024234655,50,29,50_29,POINT (92.20432024234655 21.11589455),whykong,40,-32768.0,-32768.0,50863,1179,0.44679073047171936,0.6911849647211623,1
21.11589455,92.21271593112203,50,30,50_30,POINT (92.21271593112203 21.11589455),whykong,80,-32768.0,-32768.0,50863,4719,0.5280133081396252,0.6544445618850743,2
21.11589455,92.22111161989754,50,31,50_31,POINT (92.22111161989754 21.11589455),whykong,80,-32768.0,-32768.0,50863,67,0.43947161560029224,0.6946993529865314,1
21.12488755,92.0951762882652,51,16,51_16,POINT (92.0951762882652 21.12488755),jalia palong,10,-32768.0,-32768.0,47656,179,0.17954795720224126,0.847782401634513,1
21.12488755,92.10357197704069,51,17,51_17,POINT (92.10357197704069 21.12488755),whykong,10,-32768.0,-32768.0,50863,3,0.8719380113514252,0.5342057236596531,2
21.12488755,92.11196766581618,51,18,51_18,POINT (92.11196766581618 21.12488755),whykong,10,-32768.0,-32768.0,50863,2208,1.491988689320649,0.40128593050420863,2
21.12488755,92.12036335459166,51,19,51_19,POINT (92.12036335459166 21.12488755),whykong,10,-32768.0,-32768.0,50863,340,2.2594138398996697,0.3068036306892474,3
21.12488755,92.12875904336715,51,20,51_20,POINT (92.12875904336715 21.12488755),whykong,10,-32768.0,-32768.0,50863,36,2.9690484809929085,0.25194955536291086,3
21.12488755,92.13715473214263,51,21,51_21,POINT (92.13715473214263 21.12488755),whykong,10,-32768.0,-32768.0,50863,47,3.67558508898495,0.21387697602934563,4
21.12488755,92.14555042091814,51,22,51_22,POINT (92.14555042091814 21.12488755),whykong,10,-32768.0,-32768.0,50863,2628,4.326718052591536,0.18773285729164574,4
21.12488755,92.15394610969362,51,23,51_23,POINT (92.15394610969362 21.12488755),whykong,10,-32768.0,-32768.0,50863,68,4.588983838779638,0.1789234016139777,4
21.12488755,92.16234179846911,51,24,51_24,POINT (92.16234179846911 21.12488755),whykong,10,-32768.0,-32768.0,50863,811,4.141089612965389,0.19451129532503877,4
21.12488755,92.1707374872446,51,25,51_25,POINT (92.1707374872446 21.12488755),whykong,10,-32768.0,-32768.0,50863,723,3.226114135577971,0.23662399261330838,4
21.12488755,92.17913317602007,51,26,51_26,POINT (92.17913317602007 21.12488755),whykong,10,-32768.0,-32768.0,50863,82,2.311138658190553,0.3020109102125227,3
